,Unnamed: 0,Rank,CCA3,Country,Continent,2022 Population,2015 Population,1990 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
177,177,229,SPM,Saint Pierre and Miquelon,North America,5862,5978,6324,5537,242,24.2231,0.0
178,178,199,VCT,Saint Vincent and the Grenadines,North America,103948,106482,112487,98459,389,267.2185,0.0
179,179,188,WSM,Samoa,Oceania,222382,203571,168186,142771,2842,78.2484,0.0
180,180,218,SMR,San Marino,Europe,33660,33570,23132,18169,61,551.8033,0.0
181,181,187,STP,Sao Tome and Principe,Africa,227380,201124,120343,77583,964,235.8714,0.0
182,182,41,SAU,Saudi Arabia,Asia,36408820,32749848,16004763,6106191,2149690,16.9368,0.46
183,183,72,SEN,Senegal,Africa,17316449,14356181,7536001,4367744,196722,88.025,0.22
184,184,105,SRB,Serbia,Europe,7221365,7519496,7987529,7193533,88361,81.7257,0.09
185,185,196,SYC,Seychelles,Africa,107118,99240,71057,54379,452,236.9867,0.0
186,186,102,SLE,Sierra Leone,Africa,8605718,7314773,4325388,2778557,71740,119.957,0.11
187,187,113,SGP,Singapore,Asia,5975689,5650018,3022209,2061831,710,8416.4634,0.07
188,188,214,SXM,Sint Maarten,North America,44175,40205,27845,6260,34,1299.2647,0.0
189,189,116,SVK,Slovakia,Europe,5643453,5424444,5261305,4522867,49037,115.0856,0.07
190,190,148,SVN,Slovenia,Europe,2119844,2080862,1986024,1741286,20273,104.5649,0.03
191,191,166,SLB,Solomon Islands,Oceania,724273,612660,324171,172833,28896,25.0648,0.01
192,192,70,SOM,Somalia,Africa,17597511,13763906,6999096,3720977,637657,27.5971,0.22
193,193,24,ZAF,South Africa,Africa,59893885,55876504,39877570,22368306,1221037,49.0517,0.75
194,194,29,KOR,South Korea,Asia,51815810,50994401,44120039,32601143,100210,517.0722,0.65
195,195,86,SSD,South Sudan,Africa,10913164,11194299,4750817,3342410,619745,17.6091,0.14
196,196,30,ESP,Spain,Europe,47558630,46431342,38889889,33792617,505992,93.9909,0.6
197,197,61,LKA,Sri Lanka,Asia,21832143,21336697,17204094,12388769,65610,332.7563,0.27
198,198,32,SDN,Sudan,Africa,46874204,38171178,21090886,11305206,1886068,24.8529,0.59
199,199,170,SUR,Suriname,South America,618040,575475,412756,379918,163820,3.7727,0.01
200,200,87,SWE,Sweden,Europe,10549347,9849349,8548406,8027702,450295,23.4276,0.13
201,201,101,CHE,Switzerland,Europe,8740472,8281732,6711693,6181227,41284,211.7157,0.11
202,202,60,SYR,Syria,Asia,22125249,19205178,12408996,6319199,185180,119.4797,0.28
203,203,57,TWN,Taiwan,Asia,23893394,23512136,20586174,14957870,36193,660.1662,0.3
204,204,95,TJK,Tajikistan,Asia,9952787,8524063,5417860,2993019,143100,69.5513,0.12
205,205,22,TZA,Tanzania,Africa,65497748,52542823,26206012,13618192,945087,69.3034,0.82
206,206,20,THA,Thailand,Asia,71697030,70294397,55228410,35791728,513120,139.7276,0.9
